id,categoria,nome,indirizzo,citta,cap,regione,paese,latitudine,longitudine,sito_web,telefono,osm_id,osm_tipo,valutazione,numero_recensioni,ha_sito_web,ha_telefono,stato_arricchimento,stato_outreach,nome_contatto,ruolo_contatto,email_contatto,data_ultimo_contatto,data_prossima_azione,artista_assegnato,tipo_avatar,mercato_target,note,connessione_calda,creato_il,aggiornato_il
42,Galleria d'Arte,ALEFBET - the hebrew letters art gallery,Via della Reginella 25,Roma,00186,Lazio,Italy,41.8933520,12.4773192,https://gabrielelevy.com/,+39 3473464296,10128006356,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
36,Galleria d'Arte,ARCI Circolo Concetto Marchesi,,Roma,,Lazio,Italy,41.9129542,12.5618812,,,9555235150,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
8,Galleria d'Arte,Accademia Filarmonica Romana,Via Flaminia 118,Roma,00196,Lazio,Italy,41.9166779,12.4740174,,,1727046749,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
10,Galleria d'Arte,Accademia Tedesca Roma - Villa Massimo,,Roma,,Lazio,Italy,41.9167123,12.5191182,,,2860950967,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
30,Galleria d'Arte,Accademia d'Ungheria in Roma,Via Giulia 1,Roma,00186,Lazio,Italy,41.8945994,12.4695192,https://culture.hu/it/roma,,7211212502,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
21,Galleria d'Arte,Accademia di Francia a Roma,,Roma,,Lazio,Italy,41.9082722,12.4827202,https://www.villamedici.it/,,4891858022,node,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
57,Galleria d'Arte,Al Muretto,,Roma,,Lazio,Italy,41.8961151,12.5146341,,,12825995419,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
16,Galleria d'Arte,Alea contemporary art,Viale Guglielmo Massaia 41,Roma,,Lazio,Italy,41.8621999,12.4933656,,,3947595188,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
78,Galleria d'Arte,Angelo Mai,Via delle Terme di Caracalla 55a,Roma,,Lazio,Italy,41.8784127,12.4959351,https://www.angelomai.org/,+39 329 4481358,1462738,relation,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
71,Galleria d'Arte,Arancio e blu,Via Tuscolana 1237,Roma,00173,Lazio,Italy,41.8372139,12.6000510,https://www.arancioeblu.com/,+39 06 7234699,211435385,way,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
46,Galleria d'Arte,Arena Aurora,,Roma,,Lazio,Italy,41.8781737,12.5415691,,,11160395545,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
60,Galleria d'Arte,Art Atellier,Via di Sant'Agostino,Roma,,Lazio,Italy,41.9004913,12.4745164,,,13397467001,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
18,Galleria d'Arte,Arte Moderna e Contemporanea,,Roma,,Lazio,Italy,41.9091254,12.4622390,,,4230915289,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
24,Galleria d'Arte,Atelier Montez,Via di Pietralata 147,Roma,,Lazio,Italy,41.9262874,12.5366658,https://montez.it/,+39 06 9727 5089,5359792782,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
77,Galleria d'Arte,Auditorium Parco della Musica Ennio Morricone,Viale Pietro de Coubertin 30,Roma,00196,Lazio,Italy,41.9290551,12.4751729,https://www.auditorium.com,,1466703738,way,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
66,Galleria d'Arte,C.S.O.A. eXSnia Viscosa,Via Prenestina,Roma,,Lazio,Italy,41.8929906,12.5356544,,,60781365,way,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
1,Galleria d'Arte,CSOA Forte Prenestino,Via Federico Delpino 187,Roma,00171,Lazio,Italy,41.8923495,12.5692442,https://forteprenestino.net/,+39 06 21807855;+39 345 1688383,251876420,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 15:19
26,Galleria d'Arte,Cambiapiano,Via Romanello da Forlì 40,Roma,00176,Lazio,Italy,41.8896362,12.5323833,,,5870614526,node,,,No,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
67,Galleria d'Arte,Casa del Jazz,Viale di Porta Ardeatina 55,Roma,00154,Lazio,Italy,41.8733342,12.4936935,https://www.casadeljazz.com,,77153698,way,,,Sì,No,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
68,Galleria d'Arte,Casa del Jazz,Viale di Porta Ardeatina 55,Roma,00154,Lazio,Italy,41.8734843,12.4949032,,+39 06 7008370,117366918,way,,,No,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
33,Galleria d'Arte,Casa della Pace,Via di Monte Testaccio 22,Roma,00153,Lazio,Italy,41.8747875,12.4744350,http://www.casadellapaceroma.it/,+393295466296,8797916304,node,,,Sì,Sì,pending,not_contacted,,,,,,,,,,,2026-04-21 11:26,2026-04-21 11:26
